instancia;capacidade;algoritmo;alpha;iteracoes;bloco;semente;tempo;custo;media;melhor_alpha
tc40-1.txt;3;guloso;;1;;1783289133;0.000048;977.000000;;
tc40-1.txt;3;guloso;;1;;1783289134;0.000044;977.000000;;
tc40-1.txt;3;guloso;;1;;1783289135;0.000042;977.000000;;
tc40-1.txt;3;guloso;;1;;1783289136;0.000043;977.000000;;
tc40-1.txt;3;guloso;;1;;1783289137;0.000047;977.000000;;
tc40-1.txt;3;guloso;;1;;1783289138;0.000046;977.000000;;
tc40-1.txt;3;guloso;;1;;1783289139;0.000047;977.000000;;
tc40-1.txt;3;guloso;;1;;1783289140;0.000045;977.000000;;
tc40-1.txt;3;guloso;;1;;1783289141;0.000046;977.000000;;
tc40-1.txt;3;guloso;;1;;1783289142;0.000045;977.000000;;
tc40-1.txt;3;randomizado;0.050000;30;;1783289133;0.002319;1263.000000;1525.066667;
tc40-1.txt;3;randomizado;0.050000;30;;1783289134;0.002223;1135.000000;1523.333333;
tc40-1.txt;3;randomizado;0.050000;30;;1783289135;0.002136;1182.000000;1513.966667;
tc40-1.txt;3;randomizado;0.050000;30;;1783289136;0.002095;1277.000000;1477.700000;
tc40-1.txt;3;randomizado;0.050000;30;;1783289137;0.002064;1161.000000;1511.100000;
tc40-1.txt;3;randomizado;0.050000;30;;1783289138;0.002109;1251.000000;1493.400000;
tc40-1.txt;3;randomizado;0.050000;30;;1783289139;0.002054;1124.000000;1502.833333;
tc40-1.txt;3;randomizado;0.050000;30;;1783289140;0.002172;1297.000000;1484.900000;
tc40-1.txt;3;randomizado;0.050000;30;;1783289141;0.002271;1299.000000;1500.233333;
tc40-1.txt;3;randomizado;0.050000;30;;1783289142;0.002234;1173.000000;1509.166667;
tc40-1.txt;3;randomizado;0.150000;30;;1783289133;0.002264;1645.000000;2000.166667;
tc40-1.txt;3;randomizado;0.150000;30;;1783289134;0.002222;1331.000000;1998.133333;
tc40-1.txt;3;randomizado;0.150000;30;;1783289135;0.002265;1633.000000;1996.200000;
tc40-1.txt;3;randomizado;0.150000;30;;1783289136;0.002160;1731.000000;2034.666667;
tc40-1.txt;3;randomizado;0.150000;30;;1783289137;0.002166;1420.000000;1976.533333;
tc40-1.txt;3;randomizado;0.150000;30;;1783289138;0.002144;1632.000000;2001.000000;
tc40-1.txt;3;randomizado;0.150000;30;;1783289139;0.002148;1540.000000;2002.933333;
tc40-1.txt;3;randomizado;0.150000;30;;1783289140;0.002166;1568.000000;2010.366667;
tc40-1.txt;3;randomizado;0.150000;30;;1783289141;0.002152;1328.000000;1932.766667;
tc40-1.txt;3;randomizado;0.150000;30;;1783289142;0.002187;1684.000000;2078.133333;
tc40-1.txt;3;randomizado;0.300000;30;;1783289133;0.002158;1713.000000;2014.266667;
tc40-1.txt;3;randomizado;0.300000;30;;1783289134;0.002246;1664.000000;2025.700000;
tc40-1.txt;3;randomizado;0.300000;30;;1783289135;0.002208;1561.000000;2018.333333;
tc40-1.txt;3;randomizado;0.300000;30;;1783289136;0.002194;1643.000000;2047.266667;
tc40-1.txt;3;randomizado;0.300000;30;;1783289137;0.002350;1532.000000;2006.233333;
tc40-1.txt;3;randomizado;0.300000;30;;1783289138;0.002302;1663.000000;2048.033333;
tc40-1.txt;3;randomizado;0.300000;30;;1783289139;0.002201;1677.000000;2054.066667;
tc40-1.txt;3;randomizado;0.300000;30;;1783289140;0.002085;1761.000000;2067.766667;
tc40-1.txt;3;randomizado;0.300000;30;;1783289141;0.002136;1545.000000;1981.966667;
tc40-1.txt;3;randomizado;0.300000;30;;1783289142;0.002186;1854.000000;2112.533333;
tc40-1.txt;3;reativo;;300;30;1783289133;0.021969;1193.000000;1854.570000;0.050000
tc40-1.txt;3;reativo;;300;30;1783289134;0.021788;1210.000000;1839.316667;0.050000
tc40-1.txt;3;reativo;;300;30;1783289135;0.022142;1221.000000;1845.310000;0.050000
tc40-1.txt;3;reativo;;300;30;1783289136;0.022268;1215.000000;1815.846667;0.050000
tc40-1.txt;3;reativo;;300;30;1783289137;0.022121;1086.000000;1807.946667;0.050000
tc40-1.txt;3;reativo;;300;30;1783289138;0.021439;1212.000000;1845.853333;0.050000
tc40-1.txt;3;reativo;;300;30;1783289139;0.022507;1248.000000;1841.796667;0.050000
tc40-1.txt;3;reativo;;300;30;1783289140;0.021881;1197.000000;1855.826667;0.050000
tc40-1.txt;3;reativo;;300;30;1783289141;0.021112;1238.000000;1850.993333;0.050000
tc40-1.txt;3;reativo;;300;30;1783289142;0.022087;1204.000000;1826.420000;0.050000
tc40-1.txt;5;guloso;;1;;1783289133;0.000054;706.000000;;
tc40-1.txt;5;guloso;;1;;1783289134;0.000045;706.000000;;
tc40-1.txt;5;guloso;;1;;1783289135;0.000044;706.000000;;
tc40-1.txt;5;guloso;;1;;1783289136;0.000043;706.000000;;
tc40-1.txt;5;guloso;;1;;1783289137;0.000042;706.000000;;
tc40-1.txt;5;guloso;;1;;1783289138;0.000045;706.000000;;
tc40-1.txt;5;guloso;;1;;1783289139;0.000044;706.000000;;
tc40-1.txt;5;guloso;;1;;1783289140;0.000042;706.000000;;
tc40-1.txt;5;guloso;;1;;1783289141;0.000041;706.000000;;
tc40-1.txt;5;guloso;;1;;1783289142;0.000047;706.000000;;
tc40-1.txt;5;randomizado;0.050000;30;;1783289133;0.002373;1114.000000;1439.800000;
